page,paragraph_enum,text,clean_text,y0,x0,y1,x1,width,height
3,13,“Global Contract Number” means the reference number shown on the first page of this Agreement.,“Global Contract Number” means the reference number shown on the first page of this Agreement.,449.20037841796875,50.04999923706055,458.03790283203125,405.4438781738281,355.3938789367676,8.8375244140625
3,14,“Initial Term” means the period set forth in Section 15.1.,“Initial Term” means the period set forth in Section 15.1.,470.66131591796875,50.04999923706055,479.49884033203125,253.31246948242188,203.26247024536133,8.8375244140625
3,15,"“Intellectual Property Rights” means any and all past, present, and future rights which exist, or which may exist or be created in the future, under the laws of any jurisdiction in the world with respect to all: (i) rights associated with works of authorship, including exclusive exploitation rights, copyrights, moral rights, and mask works; (ii) trademarks and trade name rights and similar rights; (iii) trade secret rights; (iv) inventions, patents, patent applications, and industrial property rights; (v) other proprietary rights in intellectual property of every kind and nature; and (vi) rights in or relating to registrations, renewals, re-examinations, extensions, combinations, continuations, divisions, and reissues of, and applications for, any of the rights referred to in sub-clauses (i) through (v) above.","“Intellectual Property Rights” means any and all past, present, and future rights which exist, or which may exist or be created in the future, under the laws of any jurisdiction in the world with respect to all: (i) rights associated with works of authorship, including exclusive exploitation rights, copyrights, moral rights, and mask works; (ii) trademarks and trade name rights and similar rights; (iii) trade secret rights; (iv) inventions, patents, patent applications, and industrial property rights; (v) other proprietary rights in intellectual property of every kind and nature; and (vi) rights in or relating to registrations, renewals, re-examinations, extensions, combinations, continuations, divisions, and reissues of, and applications for, any of the rights referred to in sub-clauses (i) through (v) above.",492.12420654296875,50.04999923706055,557.7742309570312,544.9501953125,494.90019607543945,65.6500244140625
4,0,"“Lead Time” means the minimum amount of time, as specified for each Miltenyi Product in Exhibit B hereto, between the date an applicable Purchase Order (as defined below) for Miltenyi Product is received by Miltenyi and the requested date of Delivery.","“Lead Time” means the minimum amount of time, as specified for each Miltenyi Product in Exhibit B hereto, between the date an applicable Purchase Order (as defined below) for Miltenyi Product is received by Miltenyi and the requested date of Delivery.",122.20625305175781,50.04999923706055,142.4050750732422,544.9500122070312,494.9000129699707,20.198822021484375
4,1,"“Licensee” means any Bellicum associated Third Party that has rights by way of license, sublicense, collaboration or otherwise to research, have researched, develop, have developed, make, have made, use, have used, sell, offer for sale, import, have imported, export, have exported, or otherwise commercialize any Bellicum Product, as described in the Bellicum Product specific Module attached hereto as such Bellicum Product specific Module may be amended from time to time by written notification of Bellicum to Miltenyi to add or remove a Licensee.","“Licensee” means any Bellicum associated Third Party that has rights by way of license, sublicense, collaboration or otherwise to research, have researched, develop, have developed, make, have made, use, have used, sell, offer for sale, import, have imported, export, have exported, or otherwise commercialize any Bellicum Product, as described in the Bellicum Product specific Module attached hereto as such Bellicum Product specific Module may be amended from time to time by written notification of Bellicum to Miltenyi to add or remove a Licensee.",155.0304718017578,50.04999923706055,209.3191375732422,544.9498901367188,494.8998908996582,54.288665771484375
4,2,"“Master File” means any Type II Master File, Medical Device Master File, or regulatory support file or other equivalent document, filed by or on behalf of Miltenyi, as of the Effective Date or during the Term, with the FDA, EMA and/or any other applicable Regulatory Authority that accepts such Master Files for any Miltenyi Products and/or any component thereof and/or any products used in connection therewith, as applicable, and in each case any amendment thereto.","“Master File” means any Type II Master File, Medical Device Master File, or regulatory support file or other equivalent document, filed by or on behalf of Miltenyi, as of the Effective Date or during the Term, with the FDA, EMA and/or any other applicable Regulatory Authority that accepts such Master Files for any Miltenyi Products and/or any component thereof and/or any products used in connection therewith, as applicable, and in each case any amendment thereto.",221.9425811767578,50.04999923706055,264.86798095703125,544.9505004882812,494.9005012512207,42.92539978027344
4,4,"“Miltenyi Competitor” means the commercial entities and their respective Affiliates as set forth in Exhibit G attached hereto as such Exhibit G may be amended from time to time by written notification of Miltenyi to Bellicum of any proposal to add or remove a Miltenyi Competitior, which addition or removal shall be mutually agreed by the Parties after good faith discussion of such proposal.","“Miltenyi Competitor” means the commercial entities and their respective Affiliates as set forth in Exhibit G attached hereto as such Exhibit G may be amended from time to time by written notification of Miltenyi to Bellicum of any proposal to add or remove a Miltenyi Competitior, which addition or removal shall be mutually agreed by the Parties after good faith discussion of such proposal.",321.68084716796875,50.04999923706055,353.24298095703125,544.9503784179688,494.9003791809082,31.5621337890625
4,5,"“Miltenyi Products” means the products listed from time to time on Exhibit B attached hereto, and “Miltenyi Product” means any one of them. As used herein, Miltenyi Products include “Clinical Grade Products” and “Research Grade Products”.","“Miltenyi Products” means the products listed from time to time on Exhibit B attached hereto, and “Miltenyi Product” means any one of them. As used herein, Miltenyi Products include “Clinical Grade Products” and “Research Grade Products”.",365.86834716796875,50.04999923706055,386.06915283203125,544.949951171875,494.89995193481445,20.2008056640625
4,7,"“Miltenyi Technology” means all Technology and Intellectual Property Rights currently in the possession of or controlled by Miltenyi, or conceived, developed or reduced to practice before or after the Effective Date by Miltenyi, relating to the research and development, manufacturing, registration for marketing, handling, use, or sale of a Miltenyi Product (e.g., instruments, columns, antibodies, antibody ® ® reagents, tubing sets, and buffers). The term “Miltenyi Technology” includes the CliniMACS System, CliniMACS Prodigy System, the ® MACS Technology, and any other proprietary materials and methods useful for the selection, activation, purification, cultivation, or other kinds of processing, of cells or biological materials, or products utilizing any of the foregoing.","“Miltenyi Technology” means all Technology and Intellectual Property Rights currently in the possession of or controlled by Miltenyi, or conceived, developed or reduced to practice before or after the Effective Date by Miltenyi, relating to the research and development, manufacturing, registration for marketing, handling, use, or sale of a Miltenyi Product (e.g., instruments, columns, antibodies, antibody ® ® reagents, tubing sets, and buffers). The term “Miltenyi Technology” includes the CliniMACS System, CliniMACS Prodigy System, the ® MACS Technology, and any other proprietary materials and methods useful for the selection, activation, purification, cultivation, or other kinds of processing, of cells or biological materials, or products utilizing any of the foregoing.",420.15545654296875,50.04999923706055,485.80548095703125,544.9501953125,494.90019607543945,65.6500244140625
4,8,"“Module” means a written description, mutually agreed upon by the Parties, of one or more Bellicum Products or one or more Bellicum Program(s) under which Miltenyi agrees to supply Miltenyi Products to Bellicum under this Agreement, as specifically applicable for such Bellicum Product(s) or such Bellicum Program(s). Each Module shall be agreed upon between the Parties on a Bellicum Product-by- Bellicum Product or Bellicum Program- by Bellicum-Program basis, as set forth in Section 1.4 and any amendment thereto.","“Module” means a written description, mutually agreed upon by the Parties, of one or more Bellicum Products or one or more Bellicum Program(s) under which Miltenyi agrees to supply Miltenyi Products to Bellicum under this Agreement, as specifically applicable for such Bellicum Product(s) or such Bellicum Program(s). Each Module shall be agreed upon between the Parties on a Bellicum Product-by- Bellicum Product or Bellicum Program- by Bellicum-Program basis, as set forth in Section 1.4 and any amendment thereto.",498.43084716796875,50.04999923706055,541.3562622070312,544.9505004882812,494.9005012512207,42.9254150390625
4,9,“Permitted Use” shall have the meaning provided in Section 2.2 hereof.,“Permitted Use” shall have the meaning provided in Section 2.2 hereof.,553.9816284179688,50.04999923706055,562.8191528320312,303.181396484375,253.13139724731445,8.8375244140625
5,2,“Product Price” shall have the meaning set forth in Section 8.4.,“Product Price” shall have the meaning set forth in Section 8.4.,187.2296905517578,50.04999923706055,196.0671844482422,276.6688232421875,226.61882400512695,8.837493896484375
5,3,"“Quality Agreement” means one or more written agreements between the Parties, incorporating all relevant quality assurance and quality control obligations and aspects for the Parties with respect to the supply of Clinical Grade Products to Bellicum by Miltenyi under this","“Quality Agreement” means one or more written agreements between the Parties, incorporating all relevant quality assurance and quality control obligations and aspects for the Parties with respect to the supply of Clinical Grade Products to Bellicum by Miltenyi under this",208.6925811767578,50.04999923706055,228.8933563232422,544.9505615234375,494.90056228637695,20.200775146484375
5,7,“Renewal Term” shall have the meaning set forth in Section 15.1.,“Renewal Term” shall have the meaning set forth in Section 15.1.,351.35467529296875,50.04999923706055,360.19219970703125,283.6124572753906,233.56245803833008,8.8375244140625
5,11,"“Technology” means all inventions, discoveries, improvements and proprietary methods and materials of a Party, whether or not patentable, including samples of, methods of production or use of, and structural and functional information pertaining to, chemical compounds, proteins, cells or other biological substances; other data; formulations; specifications; protocols; techniques; processes and procedures; and know‑how; including any negative results; and other information of value to such Party that it maintains in secrecy, and in existence on or after the Effective Date.","“Technology” means all inventions, discoveries, improvements and proprietary methods and materials of a Party, whether or not patentable, including samples of, methods of production or use of, and structural and functional information pertaining to, chemical compounds, proteins, cells or other biological substances; other data; formulations; specifications; protocols; techniques; processes and procedures; and know‑how; including any negative results; and other information of value to such Party that it maintains in secrecy, and in existence on or after the Effective Date.",505.38006591796875,50.04999923706055,559.6668090820312,544.9505615234375,494.90056228637695,54.2867431640625
5,12,“Term” means the Initial Term and any Renewal Term thereof.,“Term” means the Initial Term and any Renewal Term thereof.,572.2921752929688,50.04999923706055,581.1296997070312,273.5125427246094,223.46254348754883,8.8375244140625
5,14,"“Third Party” means any corporation, association, or other entity that is not a Party or an Affiliate of a Party.","“Third Party” means any corporation, association, or other entity that is not a Party or an Affiliate of a Party.",615.2179565429688,50.04999923706055,624.0554809570312,438.8999938964844,388.8499946594238,8.8375244140625
6,0,"(a) The descriptive headings of Articles and Sections of the Agreement are inserted solely for convenience and ease of reference and shall not constitute any part of this Agreement, or have any effect on its interpretation or construction.","(a) The descriptive headings of Articles and Sections of the Agreement are inserted solely for convenience and ease of reference and shall not constitute any part of this Agreement, or have any effect on its interpretation or construction.",101.37812805175781,50.04999923706055,120.94609832763672,544.9498291015625,494.89982986450195,19.567970275878906
6,1,"(b) All references in this Agreement to the singular shall include the plural where applicable, and vice versa, as the context may require.","(b) All references in this Agreement to the singular shall include the plural where applicable, and vice versa, as the context may require.",129.7843780517578,50.04999923706055,138.6218719482422,531.6944580078125,481.64445877075195,8.837493896484375
6,2,"(c) As used in this Agreement, (i) the word “including” is not intended to be exclusive and means “including without limitation”; (ii) neutral pronouns and any derivations thereof shall be deemed to include the feminine and masculine,; (iii) the words “hereof” and “hereunder” and other words of similar import refer to this Agreement as a whole, including all exhibits and appendices, as the same may be amended from time to time, and not to any subdivision of this Agreement; (iv) the word “days” means “calendar days,” unless otherwise stated; (v) the words “shall” and “will” are used interchangeably and have the same meaning; and (vi) the word “Section” refers to sections and subsections in this Agreement.","(c) As used in this Agreement, (i) the word “including” is not intended to be exclusive and means “including without limitation”; (ii) neutral pronouns and any derivations thereof shall be deemed to include the feminine and masculine,; (iii) the words “hereof” and “hereunder” and other words of similar import refer to this Agreement as a whole, including all exhibits and appendices, as the same may be amended from time to time, and not to any subdivision of this Agreement; (iv) the word “days” means “calendar days,” unless otherwise stated; (v) the words “shall” and “will” are used interchangeably and have the same meaning; and (vi) the word “Section” refers to sections and subsections in this Agreement.",148.0890655517578,50.04999923706055,208.0593719482422,544.9505615234375,494.90056228637695,59.970306396484375
6,3,"(d) Whenever any payment to be made or action to be taken under the Agreement is required to be made or taken on a day other than a Business Day, such payment shall be made or action shall be taken on the next Business Day following such day.","(d) Whenever any payment to be made or action to be taken under the Agreement is required to be made or taken on a day other than a Business Day, such payment shall be made or action shall be taken on the next Business Day following such day.",216.8957061767578,50.04999923706055,236.4656219482422,544.9505004882812,494.9005012512207,19.569915771484375
6,4,"1.3 Scope of Agreement. As a master form of contract, this Agreement allows the Parties to agree upon and contract for the supply of Miltenyi Products pursuant to one or more Modules as described in Section 1.4, without having to re-negotiate the basic terms and conditions contained herein that are generally applicable to Miltenyi Product supply. Each such Module will set forth Module-related terms, conditions, rights and obligations regarding the Bellicum Product(s) or Bellicum Program(s) described in such Module, such as the binding or non-binding nature of Bellicum’s purchase commitment and Miltenyi’s supply commitment, pursuant to such Module, Forecast Territory and Designated Countries. Nothing in this Agreement shall be construed as creating any relationship between Miltenyi and Bellicum other than that of seller and buyer, or licensor and licensee, respectively. This Agreement is not intended to be, nor shall it be construed as, a joint venture, association, partnership, franchise, or other form of business organization or agency relationship. Neither Party shall have any right, power, or authority to assume, create, or incur any expense, liability, or obligation, express or implied, on behalf of the other Party, except as expressly provided herein.","1.3 Scope of Agreement. As a master form of contract, this Agreement allows the Parties to agree upon and contract for the supply of Miltenyi Products pursuant to one or more Modules as described in Section 1.4, without having to re-negotiate the basic terms and conditions contained herein that are generally applicable to Miltenyi Product supply. Each such Module will set forth Module-related terms, conditions, rights and obligations regarding the Bellicum Product(s) or Bellicum Program(s) described in such Module, such as the binding or non-binding nature of Bellicum’s purchase commitment and Miltenyi’s supply commitment, pursuant to such Module, Forecast Territory and Designated Countries. Nothing in this Agreement shall be construed as creating any relationship between Miltenyi and Bellicum other than that of seller and buyer, or licensor and licensee, respectively. This Agreement is not intended to be, nor shall it be construed as, a joint venture, association, partnership, franchise, or other form of business organization or agency relationship. Neither Party shall have any right, power, or authority to assume, create, or incur any expense, liability, or obligation, express or implied, on behalf of the other Party, except as expressly provided herein.",245.3019561767578,50.04999923706055,345.67071533203125,544.9505004882812,494.9005012512207,100.36875915527344
6,6,ARTICLE 2 SUPPLY OF PRODUCT; ALLIANCE MANAGERS; JOINT STEERING COMMITTEE,ARTICLE 2 SUPPLY OF PRODUCT; ALLIANCE MANAGERS; JOINT STEERING COMMITTEE,463.71405029296875,119.48750305175781,472.55157470703125,475.5123291015625,356.0248260498047,8.8375244140625
7,0,"under this Agreement shall be exclusively governed by the terms and conditions of this Agreement and the Quality Agreement, as amended from time to time, unless specifically otherwise agreed between the Parties in writing. Any terms and conditions of any Purchase Order or acknowledgement given or received which are additional to or inconsistent with this Agreement or the Quality Agreement shall have no effect and such terms and conditions are hereby excluded and rejected.","under this Agreement shall be exclusively governed by the terms and conditions of this Agreement and the Quality Agreement, as amended from time to time, unless specifically otherwise agreed between the Parties in writing. Any terms and conditions of any Purchase Order or acknowledgement given or received which are additional to or inconsistent with this Agreement or the Quality Agreement shall have no effect and such terms and conditions are hereby excluded and rejected.",102.01094055175781,50.04999923706055,146.8308563232422,544.9498901367188,494.8998908996582,44.819915771484375
7,5,"(d) Except as expressly provided in this Agreement, no other right, express or implied, is conveyed by the sale or purchase of the Miltenyi Products (including the right to make or have made Miltenyi Products). Except as expressly provided in this Agreement, Bellicum specifically agrees not to, and agrees not to cause any Third Party to, sell, market, export, transfer, or re-export Miltenyi Products without Miltenyi’s express prior written consent.","(d) Except as expressly provided in this Agreement, no other right, express or implied, is conveyed by the sale or purchase of the Miltenyi Products (including the right to make or have made Miltenyi Products). Except as expressly provided in this Agreement, Bellicum specifically agrees not to, and agrees not to cause any Third Party to, sell, market, export, transfer, or re-export Miltenyi Products without Miltenyi’s express prior written consent.",382.91717529296875,50.04999923706055,427.73712158203125,544.9500122070312,494.9000129699707,44.8199462890625
7,9,"(1) Modify or alter, or cause any Third Party to modify or alter, any Miltenyi Product supplied hereunder other than in connection with its Permitted Use;","(1) Modify or alter, or cause any Third Party to modify or alter, any Miltenyi Product supplied hereunder other than in connection with its Permitted Use;",559.6681518554688,50.04999923706055,580.4988403320312,544.94970703125,494.89970779418945,20.8306884765625
8,3,"(5) Transfer, use, import or export any Miltenyi Product supplied to Bellicum hereunder in any country or territory other than the Designated Countries.","(5) Transfer, use, import or export any Miltenyi Product supplied to Bellicum hereunder in any country or territory other than the Designated Countries.",216.2658233642578,50.04999923706055,235.8347625732422,544.949462890625,494.89946365356445,19.568939208984375
8,5,"2.4 Reserved Rights. Notwithstanding anything to the contrary in this Agreement, nothing herein is intended nor shall be construed as creating any exclusive arrangement between Miltenyi and Bellicum with respect to the supply, purchase and/or use of the Miltenyi Products. Miltenyi reserves the right, at its sole discretion and without any restriction or limitation whatsoever, to manufacture, have manufactured, use, have used, sell, have sold, offer for sale, export, import or otherwise commercialize or dispose of Miltenyi Products in any manner and for any purpose whatsoever.","2.4 Reserved Rights. Notwithstanding anything to the contrary in this Agreement, nothing herein is intended nor shall be construed as creating any exclusive arrangement between Miltenyi and Bellicum with respect to the supply, purchase and/or use of the Miltenyi Products. Miltenyi reserves the right, at its sole discretion and without any restriction or limitation whatsoever, to manufacture, have manufactured, use, have used, sell, have sold, offer for sale, export, import or otherwise commercialize or dispose of Miltenyi Products in any manner and for any purpose whatsoever.",343.77850341796875,50.04999923706055,393.64727783203125,544.9503784179688,494.9003791809082,49.8687744140625
9,0,"be the sole responsibility of Miltenyi to obtain and maintain, and Miltenyi shall obtain and maintain, all licenses, permits, authorizations, or registrations required by Applicable Laws in order for Miltenyi, its Affiliates, and/or Subcontractors (as the case may be) to manufacture and make Delivery of Miltenyi Products, except as otherwise provided in this Agreement, at Miltenyi’s expense.","be the sole responsibility of Miltenyi to obtain and maintain, and Miltenyi shall obtain and maintain, all licenses, permits, authorizations, or registrations required by Applicable Laws in order for Miltenyi, its Affiliates, and/or Subcontractors (as the case may be) to manufacture and make Delivery of Miltenyi Products, except as otherwise provided in this Agreement, at Miltenyi’s expense.",101.37812805175781,50.04999923706055,130.4158172607422,544.9500732421875,494.90007400512695,29.037689208984375
