page,line_enum,text,tokens,x0,y0,x1,y1,width,height,empty_line,only_special,only_special_len,text_wo_numbers,text_wo_numbers_len,text_duplicated,to_delete_line
1,28,Article 1 DEFINITIONS AND INTERPRETATION,5,205.33750915527344,422.05389404296875,389.6625671386719,430.89141845703125,184.35006,8.86252,False,Article 1 DEFINITIONS AND INTERPRETATION,5,Article  DEFINITIONS AND INTERPRETATION,4,False,False
1,29,"1.1 Definitions. For the purposes of this Agreement, unless the context requires otherwise, the following terms shall have the meanings set",21,50.04999923706055,439.72967529296875,544.949951171875,448.56719970703125,494.92495,8.86252,False,11 Definitions For the purposes of this Agreement unless the context requires otherwise the following terms shall have the meanings set,21,". Definitions. For the purposes of this Agreement, unless the context requires otherwise, the following terms shall have the meanings set",21,False,False
1,30,forth below:,2,50.04999923706055,450.46014404296875,93.60625457763672,459.29766845703125,43.58126,8.86252,False,forth below,2,forth below:,2,False,False
1,31,“Additional Countries” shall have the meaning set forth in Section 2.3 of this Agreement.,14,50.04999923706055,468.13592529296875,365.6749267578125,476.97344970703125,315.64993,8.86252,False,Additional Countries shall have the meaning set forth in Section 23 of this Agreement,14,“Additional Countries” shall have the meaning set forth in Section . of this Agreement.,14,False,False
1,32,"“Affiliate” means, with respect to a Party, any corporation, association, or other entity which, directly or indirectly, controls the Party or",21,50.04999923706055,485.80975341796875,544.9505615234375,494.64727783203125,494.92556,8.86252,False,Affiliate means with respect to a Party any corporation association or other entity which directly or indirectly controls the Party or,21,"“Affiliate” means, with respect to a Party, any corporation, association, or other entity which, directly or indirectly, controls the Party or",21,False,False
1,33,"is controlled by the Party or is under common control with such Party, where “control“ means the possession, directly or indirectly, of",22,50.04999923706055,495.91131591796875,544.9500732421875,504.74884033203125,494.92507,8.86252,False,is controlled by the Party or is under common control with such Party where control means the possession directly or indirectly of,22,"is controlled by the Party or is under common control with such Party, where “control“ means the possession, directly or indirectly, of",22,False,False
1,34,"the power to direct or cause the direction of the affairs or management of a corporation, association, or other entity through the",22,50.04999923706055,506.01092529296875,544.95068359375,514.8484497070312,494.92568,8.86252,False,the power to direct or cause the direction of the affairs or management of a corporation association or other entity through the,22,"the power to direct or cause the direction of the affairs or management of a corporation, association, or other entity through the",22,False,False
1,35,ownership of fifty percent,4,50.04999923706055,516.1105346679688,144.1062469482422,524.9480590820312,94.08125,8.86252,False,ownership of fifty percent,4,ownership of fifty percent,4,False,False
2,3,"or more of the voting securities or otherwise, including having the power to elect a majority of the board of directors or other governing",24,50.04999923706055,101.38398742675781,544.9508666992188,110.22148895263672,494.92587,8.8625,False,or more of the voting securities or otherwise including having the power to elect a majority of the board of directors or other governing,24,"or more of the voting securities or otherwise, including having the power to elect a majority of the board of directors or other governing",24,False,False
2,4,"body of such corporation, association, or other entity.",8,50.04999923706055,112.74726867675781,242.58140563964844,121.58477020263672,192.55641,8.8625,False,body of such corporation association or other entity,8,"body of such corporation, association, or other entity.",8,False,False
2,5,"“Agreed Standards” means all standards, specifications, guidelines and regulations as to quality, safety and performance as are consistently",18,50.04999923706055,134.2082061767578,544.9496459960938,143.0457000732422,494.92465,8.86249,False,Agreed Standards means all standards specifications guidelines and regulations as to quality safety and performance as are consistently,18,"“Agreed Standards” means all standards, specifications, guidelines and regulations as to quality, safety and performance as are consistently",18,False,False
2,6,applied by Miltenyi from time to time with respect to the manufacture and quality control of the relevant Miltenyi Product in accordance,22,50.04999923706055,145.5714874267578,544.9503784179688,154.4089813232422,494.92538,8.86249,False,applied by Miltenyi from time to time with respect to the manufacture and quality control of the relevant Miltenyi Product in accordance,22,applied by Miltenyi from time to time with respect to the manufacture and quality control of the relevant Miltenyi Product in accordance,22,False,False
2,7,"with Miltenyi’s established quality system, standard operating procedures, and quality control procedures, and includes (i) any standard(s)",17,50.04999923706055,156.9347686767578,544.9493408203125,165.7722625732422,494.92434,8.86249,False,with Miltenyis established quality system standard operating procedures and quality control procedures and includes i any standards,17,"with Miltenyi’s established quality system, standard operating procedures, and quality control procedures, and includes (i) any standard(s)",17,False,False
2,8,as may be specifically determined to be applicable to the manufacture and quality control of the relevant Miltenyi Product (if any) (for,22,50.04999923706055,168.2960968017578,544.9500732421875,177.1335906982422,494.92507,8.86249,False,as may be specifically determined to be applicable to the manufacture and quality control of the relevant Miltenyi Product if any for,22,as may be specifically determined to be applicable to the manufacture and quality control of the relevant Miltenyi Product (if any) (for,22,False,False
2,9,"example, with regard to the manufacturing of cell processing reagents or processing aids) by agreement between Miltenyi and any relevant",20,50.04999923706055,179.6593780517578,544.9501953125,188.4968719482422,494.9252,8.86249,False,example with regard to the manufacturing of cell processing reagents or processing aids by agreement between Miltenyi and any relevant,20,"example, with regard to the manufacturing of cell processing reagents or processing aids) by agreement between Miltenyi and any relevant",20,False,False
2,10,Regulatory Authority/ies and as set forth in Miltenyi’s relevant Master Files and/or the Quality Agreement and (ii) any standard(s) as may,21,50.04999923706055,191.0207061767578,544.9498901367188,199.8582000732422,494.92489,8.86249,False,Regulatory Authorityies and as set forth in Miltenyis relevant Master Files andor the Quality Agreement and ii any standards as may,21,Regulatory Authority/ies and as set forth in Miltenyi’s relevant Master Files and/or the Quality Agreement and (ii) any standard(s) as may,21,False,False
2,11,be expressly agreed between the Parties with respect to a relevant Miltenyi Product from time to time in writing in this Agreement or in an,25,50.04999923706055,202.3839874267578,544.949462890625,211.2214813232422,494.92446,8.86249,False,be expressly agreed between the Parties with respect to a relevant Miltenyi Product from time to time in writing in this Agreement or in an,25,be expressly agreed between the Parties with respect to a relevant Miltenyi Product from time to time in writing in this Agreement or in an,25,False,False
2,12,amendment to this Agreement.,4,50.04999923706055,213.7472686767578,159.25634765625,222.5847625732422,109.23135,8.86249,False,amendment to this Agreement,4,amendment to this Agreement.,4,False,False
2,13,"“Agreement” means this Supply Agreement, including Exhibits A, B, C, D, E, F and G attached hereto and incorporated herein, as",21,50.04999923706055,235.2082061767578,544.9500122070312,244.0457000732422,494.92501,8.86249,False,Agreement means this Supply Agreement including Exhibits A B C D E F and G attached hereto and incorporated herein as,21,"“Agreement” means this Supply Agreement, including Exhibits A, B, C, D, E, F and G attached hereto and incorporated herein, as",21,False,False
2,14,amended from time to time in accordance with Section 20.3 hereof.,11,50.04999923706055,246.5714874267578,292.4501647949219,255.4089813232422,242.42517,8.86249,False,amended from time to time in accordance with Section 203 hereof,11,amended from time to time in accordance with Section . hereof.,11,False,False
2,15,"“Applicable Laws” means all supranational, national, state and local laws, rules and regulations and guidelines governing the activities of a",20,50.04999923706055,268.03436279296875,544.9495849609375,276.87188720703125,494.92459,8.86252,False,Applicable Laws means all supranational national state and local laws rules and regulations and guidelines governing the activities of a,20,"“Applicable Laws” means all supranational, national, state and local laws, rules and regulations and guidelines governing the activities of a",20,False,False
2,16,"Party described in this Agreement within the Territory that are applicable to the manufacture, use, storage, import, export and handling of",21,50.04999923706055,279.39569091796875,544.9509887695312,288.23321533203125,494.92599,8.86252,False,Party described in this Agreement within the Territory that are applicable to the manufacture use storage import export and handling of,21,"Party described in this Agreement within the Territory that are applicable to the manufacture, use, storage, import, export and handling of",21,False,False
2,17,"the Miltenyi Products, including any applicable rules, regulations, guidelines, and other requirements of any Regulatory Authority that may",18,50.04999923706055,290.75897216796875,544.9496459960938,299.59649658203125,494.92465,8.86252,False,the Miltenyi Products including any applicable rules regulations guidelines and other requirements of any Regulatory Authority that may,18,"the Miltenyi Products, including any applicable rules, regulations, guidelines, and other requirements of any Regulatory Authority that may",18,False,False
2,18,be in effect in the Territory from time to time.,10,50.04999923706055,302.12225341796875,214.1751708984375,310.95977783203125,164.15017,8.86252,False,be in effect in the Territory from time to time,10,be in effect in the Territory from time to time.,10,False,False
2,19,“Bellicum Product” means one or more cell-based therapeutic product(s) that are manufactured using one or more Miltenyi Products and,19,50.04999923706055,323.58319091796875,544.9495239257812,332.42071533203125,494.92452,8.86252,False,Bellicum Product means one or more cellbased therapeutic products that are manufactured using one or more Miltenyi Products and,19,“Bellicum Product” means one or more cell-based therapeutic product(s) that are manufactured using one or more Miltenyi Products and,19,False,False
2,20,"that are researched, developed and/or commercialized by or on behalf of Bellicum in the Field, as such products are identified in Modules",22,50.04999923706055,334.94647216796875,544.9508056640625,343.78399658203125,494.92581,8.86252,False,that are researched developed andor commercialized by or on behalf of Bellicum in the Field as such products are identified in Modules,22,"that are researched, developed and/or commercialized by or on behalf of Bellicum in the Field, as such products are identified in Modules",22,False,False
2,21,"set forth in Exhibit A to this Agreement, including related development candidate(s) and investigational cell-based therapeutics used under",18,50.04999923706055,346.30975341796875,544.9503173828125,355.14727783203125,494.92532,8.86252,False,set forth in Exhibit A to this Agreement including related development candidates and investigational cellbased therapeutics used under,18,"set forth in Exhibit A to this Agreement, including related development candidate(s) and investigational cell-based therapeutics used under",18,False,False
2,22,"the sponsorship of Bellicum and as further specified in the applicable Module, as such Module may be amended from time to time by",23,50.04999923706055,357.67108154296875,544.9498901367188,366.50860595703125,494.92489,8.86252,False,the sponsorship of Bellicum and as further specified in the applicable Module as such Module may be amended from time to time by,23,"the sponsorship of Bellicum and as further specified in the applicable Module, as such Module may be amended from time to time by",23,False,False
2,23,written notification of Bellicum to Miltenyi to add or remove product(s) in the Field.,14,50.04999923706055,369.03436279296875,349.2628479003906,377.87188720703125,299.23785,8.86252,False,written notification of Bellicum to Miltenyi to add or remove products in the Field,14,written notification of Bellicum to Miltenyi to add or remove product(s) in the Field.,14,False,False
2,24,"“Bellicum Program” means a specific Bellicum program for preclinical, clinical development and/or commercialization relating to one or",17,50.04999923706055,390.49725341796875,544.9503173828125,399.33477783203125,494.92532,8.86252,False,Bellicum Program means a specific Bellicum program for preclinical clinical development andor commercialization relating to one or,17,"“Bellicum Program” means a specific Bellicum program for preclinical, clinical development and/or commercialization relating to one or",17,False,False
2,25,more Bellicum Products as such program is identified and described in a Module to this Agreement.,16,50.04999923706055,401.85858154296875,405.4438781738281,410.69610595703125,355.41888,8.86252,False,more Bellicum Products as such program is identified and described in a Module to this Agreement,16,more Bellicum Products as such program is identified and described in a Module to this Agreement.,16,False,False
2,26,"“Business Day” means any day on which banking institutions in both San Francisco, US, and Bergisch Gladbach, Germany, are open for",21,50.04999923706055,423.32147216796875,544.9501953125,432.15899658203125,494.9252,8.86252,False,Business Day means any day on which banking institutions in both San Francisco US and Bergisch Gladbach Germany are open for,21,"“Business Day” means any day on which banking institutions in both San Francisco, US, and Bergisch Gladbach, Germany, are open for",21,False,False
2,27,business,1,50.04999923706055,434.68475341796875,80.34999084472656,443.52227783203125,30.32499,8.86252,False,business,1,business,1,False,False
2,28,"“Calendar Quarter” means each successive period of three consecutive calendar months commencing on January 1, April 1, July 1 and",20,50.04999923706055,456.14569091796875,544.9505004882812,464.98321533203125,494.9255,8.86252,False,Calendar Quarter means each successive period of three consecutive calendar months commencing on January 1 April 1 July 1 and,20,"“Calendar Quarter” means each successive period of three consecutive calendar months commencing on January , April , July  and",19,False,False
2,29,October 1.,2,50.04999923706055,467.50897216796875,88.55622100830078,476.34649658203125,38.53122,8.86252,False,October 1,2,October .,2,False,False
2,30,"“Calendar Year” means each successive period of twelve (12) months (each, a “Calendar Month”) commencing on January 1 and ending",20,50.04999923706055,488.97186279296875,544.9506225585938,497.80938720703125,494.92562,8.86252,False,Calendar Year means each successive period of twelve 12 months each a Calendar Month commencing on January 1 and ending,20,"“Calendar Year” means each successive period of twelve () months (each, a “Calendar Month”) commencing on January  and ending",19,False,False
2,31,"on December 31, except that the first Calendar Year shall be that period from and including the Effective Date through December 31 of",23,50.04999923706055,500.33319091796875,544.949951171875,509.17071533203125,494.92495,8.86252,False,on December 31 except that the first Calendar Year shall be that period from and including the Effective Date through December 31 of,23,"on December , except that the first Calendar Year shall be that period from and including the Effective Date through December  of",22,False,False
2,32,"that same year, and the last Calendar Year shall be that period from and including the last January 1 of the Term through the earlier of the",27,50.04999923706055,511.69647216796875,544.9498291015625,520.5339965820312,494.92483,8.86252,False,that same year and the last Calendar Year shall be that period from and including the last January 1 of the Term through the earlier of the,27,"that same year, and the last Calendar Year shall be that period from and including the last January  of the Term through the earlier of the",26,False,False
2,33,date of expiration or termination of this Agreement.,8,50.04999923706055,523.0597534179688,233.1126708984375,531.8972778320312,183.08767,8.86252,False,date of expiration or termination of this Agreement,8,date of expiration or termination of this Agreement.,8,False,False
2,34,"“Clinical Grade Product” means any Miltenyi Product designated as “Clinical Grade” in the attached Exhibit B, Column “Quality Status”.",19,50.04999923706055,544.5206909179688,534.8499755859375,553.3582153320312,484.82498,8.86252,False,Clinical Grade Product means any Miltenyi Product designated as Clinical Grade in the attached Exhibit B Column Quality Status,19,"“Clinical Grade Product” means any Miltenyi Product designated as “Clinical Grade” in the attached Exhibit B, Column “Quality Status”.",19,False,False
2,35,"“Commercial Phase” means, on a Bellicum Product-by-Bellicum Product basis, the period of time during the Term of this Agreement",19,50.04999923706055,565.9835815429688,544.950439453125,574.8211059570312,494.92544,8.86252,False,Commercial Phase means on a Bellicum ProductbyBellicum Product basis the period of time during the Term of this Agreement,19,"“Commercial Phase” means, on a Bellicum Product-by-Bellicum Product basis, the period of time during the Term of this Agreement",19,False,False
2,36,following the approval by the FDA or other applicable Regulatory Authorities in the Designated Countries for a particular Bellicum,19,50.04999923706055,577.3468627929688,544.9498291015625,586.1843872070312,494.92483,8.86252,False,following the approval by the FDA or other applicable Regulatory Authorities in the Designated Countries for a particular Bellicum,19,following the approval by the FDA or other applicable Regulatory Authorities in the Designated Countries for a particular Bellicum,19,False,False
2,37,"Product, during which period of time Bellicum desires Miltenyi to supply Bellicum, its Subcontractors and/or Licensees with Miltenyi",18,50.04999923706055,588.7081909179688,544.9495849609375,597.5457153320312,494.92459,8.86252,False,Product during which period of time Bellicum desires Miltenyi to supply Bellicum its Subcontractors andor Licensees with Miltenyi,18,"Product, during which period of time Bellicum desires Miltenyi to supply Bellicum, its Subcontractors and/or Licensees with Miltenyi",18,False,False
2,38,Product(s).,1,50.04999923706055,600.0714721679688,91.08124542236328,608.9089965820312,41.05625,8.86252,False,Products,1,Product(s).,1,False,False
3,3,"“[...***...]” shall mean, with respect to the efforts and resources required to fulfill any obligation hereunder, the use of [...***...] of",21,50.04999923706055,102.01289367675781,544.9500732421875,110.85039520263672,494.92507,8.8625,False,shall mean with respect to the efforts and resources required to fulfill any obligation hereunder the use of  of,19,"“[...***...]” shall mean, with respect to the efforts and resources required to fulfill any obligation hereunder, the use of [...***...] of",21,False,False
3,4,companies in the pharmaceutical industry or the biotech industry.,9,50.04999923706055,113.37422180175781,282.9814147949219,122.21172332763672,232.95642,8.8625,False,companies in the pharmaceutical industry or the biotech industry,9,companies in the pharmaceutical industry or the biotech industry.,9,False,False
3,5,“Communication” shall have the meaning set forth in Section 4.5.,10,50.04999923706055,134.8371124267578,283.61260986328125,143.6746063232422,233.58761,8.86249,False,Communication shall have the meaning set forth in Section 45,10,“Communication” shall have the meaning set forth in Section ..,10,False,False
3,6,“Confidential Information” shall have the meaning set forth in Section 14.,11,50.04999923706055,156.3000030517578,312.0187683105469,165.1374969482422,261.99377,8.86249,False,Confidential Information shall have the meaning set forth in Section 14,11,“Confidential Information” shall have the meaning set forth in Section .,11,False,False
3,7,“Contract Year” means each successive period of twelve (12)-months during the Term ending on each anniversary of the Effective Date,20,50.04999923706055,177.7628936767578,544.9497680664062,186.6003875732422,494.92477,8.86249,False,Contract Year means each successive period of twelve 12months during the Term ending on each anniversary of the Effective Date,20,“Contract Year” means each successive period of twelve ()-months during the Term ending on each anniversary of the Effective Date,20,False,False
3,8,of this Agreement.,3,50.04999923706055,189.1242218017578,116.33128356933594,197.9617156982422,66.30628,8.86249,False,of this Agreement,3,of this Agreement.,3,False,False
3,9,“Delivery” and “Deliver” shall have the meaning set forth in Section 6.1(a).,12,50.04999923706055,210.5871124267578,317.6999816894531,219.4246063232422,267.67498,8.86249,False,Delivery and Deliver shall have the meaning set forth in Section 61a,12,“Delivery” and “Deliver” shall have the meaning set forth in Section .(a).,12,False,False
3,10,“Designated Countries” means those countries listed under section “Designated Countries” on the Bellicum Product specific Module.,16,50.04999923706055,232.0500030517578,522.8564453125,240.8874969482422,472.83145,8.86249,False,Designated Countries means those countries listed under section Designated Countries on the Bellicum Product specific Module,16,“Designated Countries” means those countries listed under section “Designated Countries” on the Bellicum Product specific Module.,16,False,False
3,11,“Discounts” shall have the meaning set forth in Section 8.4.,10,50.04999923706055,253.5128936767578,263.4125671386719,262.35040283203125,213.38757,8.86251,False,Discounts shall have the meaning set forth in Section 84,10,“Discounts” shall have the meaning set forth in Section ..,10,False,False
3,12,"Ex Vivo “ Cell Processing” means the selection, modification, alteration, activation and/or expansion of cells outside the human body.",19,50.04999923706055,274.9715270996094,522.224853515625,283.81134033203125,472.19985,8.86481,False,Ex Vivo  Cell Processing means the selection modification alteration activation andor expansion of cells outside the human body,18,"Ex Vivo “ Cell Processing” means the selection, modification, alteration, activation and/or expansion of cells outside the human body.",19,False,False
3,13,“Facility” means (i) any production site owned or leased by Miltenyi or its Affiliate or by a Subcontractor of Miltenyi that is used for the,25,50.04999923706055,296.43670654296875,544.9500732421875,305.27423095703125,494.92507,8.86252,False,Facility means i any production site owned or leased by Miltenyi or its Affiliate or by a Subcontractor of Miltenyi that is used for the,25,“Facility” means (i) any production site owned or leased by Miltenyi or its Affiliate or by a Subcontractor of Miltenyi that is used for the,25,False,False
3,14,"manufacture of the Miltenyi Products, and (ii) any warehouse or distribution facility of Miltenyi or its Affiliate or a Subcontractor of",21,50.04999923706055,307.79998779296875,544.9497680664062,316.63751220703125,494.92477,8.86252,False,manufacture of the Miltenyi Products and ii any warehouse or distribution facility of Miltenyi or its Affiliate or a Subcontractor of,21,"manufacture of the Miltenyi Products, and (ii) any warehouse or distribution facility of Miltenyi or its Affiliate or a Subcontractor of",21,False,False
3,15,"Miltenyi that holds or ships Miltenyi Products, as the case may be.",12,50.04999923706055,319.16131591796875,287.3999938964844,327.99884033203125,237.37499,8.86252,False,Miltenyi that holds or ships Miltenyi Products as the case may be,12,"Miltenyi that holds or ships Miltenyi Products, as the case may be.",12,False,False
3,16,"“Field” means genetically modified, cell-based therapeutics for the treatment of human diseases, including but not limited to treatment of",19,50.04999923706055,340.62420654296875,544.9498291015625,349.46173095703125,494.92483,8.86252,False,Field means genetically modified cellbased therapeutics for the treatment of human diseases including but not limited to treatment of,19,"“Field” means genetically modified, cell-based therapeutics for the treatment of human diseases, including but not limited to treatment of",19,False,False
3,17,solid tumors and hematological cancers.,5,50.04999923706055,351.98748779296875,193.34384155273438,360.82501220703125,143.31884,8.86252,False,solid tumors and hematological cancers,5,solid tumors and hematological cancers.,5,False,False
3,18,“Firm Zone” shall have the meaning provided in Section 5.1(a).,10,50.04999923706055,373.45037841796875,275.40618896484375,382.28790283203125,225.38119,8.86252,False,Firm Zone shall have the meaning provided in Section 51a,10,“Firm Zone” shall have the meaning provided in Section .(a).,10,False,False
3,19,“Forecast” shall have the meaning provided in Article 5 of this Agreement.,12,50.04999923706055,394.91131591796875,315.1749267578125,403.74884033203125,265.14993,8.86252,False,Forecast shall have the meaning provided in Article 5 of this Agreement,12,“Forecast” shall have the meaning provided in Article  of this Agreement.,11,False,False
